iter	Passed	Remaining
0	56	56917
1	57	28811
2	58	19409
3	59	14703
4	59	11910
5	60	10026
6	61	8679
7	61	7666
8	62	6883
9	63	6246
10	63	5729
11	64	5296
12	64	4930
13	65	4632
14	66	4361
15	67	4162
16	68	3955
17	69	3772
18	69	3607
19	70	3454
20	71	3319
21	71	3190
22	72	3074
23	72	2965
24	73	2864
25	74	2773
26	74	2690
27	75	2611
28	75	2541
29	76	2475
30	77	2410
31	77	2352
32	78	2296
33	79	2268
34	80	2219
35	81	2173
36	81	2129
37	82	2088
38	83	2049
39	83	2013
40	84	1978
41	85	1945
42	86	1916
43	86	1886
44	87	1857
45	88	1828
46	88	1801
47	89	1774
48	90	1750
49	90	1726
50	91	1701
51	92	1678
52	92	1657
53	93	1637
54	94	1616
55	94	1598
56	95	1583
57	96	1566
58	97	1548
59	97	1534
60	98	1518
61	99	1503
62	100	1487
63	100	1471
64	101	1456
65	101	1442
66	102	1428
67	103	1414
68	103	1402
69	104	1389
70	105	1377
71	105	1365
72	106	1352
73	107	1341
74	107	1331
75	108	1319
76	109	1309
77	109	1299
78	110	1289
79	111	1280
80	112	1270
81	112	1261
82	113	1252
83	113	1243
84	114	1233
85	115	1224
86	115	1215
87	116	1207
88	117	1199
89	117	1191
90	118	1183
91	119	1175
92	119	1167
93	120	1159
94	120	1152
95	121	1145
96	122	1138
97	122	1131
98	123	1122
99	124	1116
100	124	1110
101	125	1104
102	126	1098
103	126	1092
104	127	1087
105	128	1086
106	129	1080
107	130	1075
108	130	1069
109	131	1065
110	132	1061
111	133	1055
112	133	1050
113	134	1045
114	135	1041
115	135	1035
116	136	1030
117	137	1025
118	137	1020
119	138	1015
120	139	1010
121	139	1006
122	140	1001
123	141	997
124	141	993
125	142	989
126	143	985
127	143	980
128	144	976
129	145	972
130	146	968
131	146	965
132	147	961
133	148	957
134	148	954
135	149	950
136	150	946
137	150	942
138	151	939
139	152	935
140	152	931
141	153	928
142	153	922
143	154	918
144	155	915
145	156	913
146	156	909
147	157	905
148	158	902
149	158	899
150	159	896
151	159	891
152	160	888
153	161	886
154	161	883
155	162	879
156	163	876
157	163	873
158	164	870
159	165	867
160	165	862
161	165	857
162	166	854
163	166	850
164	167	848
165	168	844
166	168	842
167	169	839
168	170	836
169	170	834
170	171	831
171	172	831
172	173	828
173	173	824
174	174	822
175	175	819
176	175	818
177	176	815
178	177	812
179	178	812
180	178	809
181	179	806
182	180	804
183	180	801
184	181	798
185	181	795
186	182	793
187	183	790
188	183	788
189	184	785
190	184	783
191	185	781
192	185	777
193	186	774
194	186	771
195	187	767
196	187	764
197	188	762
198	188	759
199	189	756
200	189	754
201	190	753
202	191	752
203	192	750
204	193	748
205	193	745
206	194	743
207	194	741
208	195	740
209	196	737
210	196	736
211	197	734
212	198	731
213	198	730
214	199	728
215	199	725
216	200	723
217	200	720
218	201	719
219	202	716
220	203	717
221	203	714
222	204	713
223	205	711
224	205	709
225	206	706
226	206	704
227	207	702
228	208	701
229	208	698
230	209	696
231	209	693
232	210	693
233	211	690
234	211	689
235	212	686
236	212	685
237	213	684
238	214	681
239	214	679
240	215	677
241	215	675
242	215	672
243	216	671
244	217	669
245	217	666
246	217	663
247	218	661
248	218	658
249	218	656
250	219	655
251	220	654
252	220	652
253	221	651
254	222	649
255	223	648
256	223	647
257	224	644
258	224	642
259	224	640
260	225	638
261	226	637
262	226	634
263	226	632
264	227	631
265	228	630
266	229	629
267	229	626
268	230	625
269	231	625
270	231	622
271	232	621
272	232	619
273	233	617
274	233	616
275	234	615
276	235	614
277	236	612
278	236	612
279	237	610
280	238	610
281	238	607
282	239	606
283	239	604
284	240	603
285	241	602
286	242	601
287	242	600
288	243	599
289	243	597
290	244	595
291	245	594
292	245	592
293	246	591
294	247	590
295	247	589
296	247	586
297	248	586
298	249	584
299	250	583
300	250	582
301	251	581
302	252	580
303	252	578
304	253	576
305	253	575
306	254	574
307	255	574
308	256	573
309	256	571
310	257	570
311	257	568
312	258	566
313	259	565
314	259	564
315	260	563
316	261	562
317	261	561
318	262	560
319	263	559
320	264	558
321	264	557
322	265	556
323	266	555
324	267	554
325	267	553
326	268	552
327	269	551
328	269	550
329	270	549
330	271	548
331	272	547
332	272	546
333	273	545
334	274	544
335	275	543
336	275	542
337	276	541
338	277	540
339	278	541
340	279	540
341	280	539
342	281	538
343	281	537
344	282	536
345	283	535
346	284	534
347	284	533
348	285	532
349	286	531
350	286	530
351	287	528
352	288	527
353	288	526
354	289	526
355	290	525
356	291	524
357	292	524
358	292	523
359	293	522
360	294	521
361	296	521
362	296	520
363	297	520
364	298	519
365	299	518
366	300	517
367	300	516
368	301	515
369	302	514
370	303	514
371	303	513
372	304	512
373	305	511
374	306	510
375	306	509
376	307	508
377	308	507
378	309	507
379	310	506
380	310	505
381	311	504
382	312	503
383	313	502
384	313	501
385	314	499
386	315	499
387	315	498
388	316	497
389	317	496
390	318	495
391	318	494
392	319	493
393	320	492
394	321	492
395	322	491
396	322	490
397	324	490
398	325	489
399	326	489
400	326	488
401	327	487
402	328	486
403	329	485
404	329	484
405	330	484
406	331	483
407	332	482
408	332	481
409	333	480
410	334	479
411	335	478
412	335	477
413	336	476
414	338	476
415	338	475
416	339	475
417	340	474
418	341	473
419	342	472
420	343	472
421	344	471
422	345	470
423	345	469
424	346	469
425	347	468
426	348	467
427	349	466
428	350	465
429	350	465
430	351	464
431	352	463
432	353	463
433	354	462
434	356	462
435	356	461
436	357	460
437	358	459
438	358	458
439	359	457
440	360	456
441	361	455
442	361	455
443	362	454
444	363	453
445	364	452
446	364	451
447	365	450
448	366	449
449	368	450
450	369	449
451	370	448
452	370	447
453	371	447
454	372	446
455	373	445
456	374	444
457	375	443
458	375	442
459	376	442
460	377	441
461	378	440
462	378	439
463	379	438
464	380	437
465	381	436
466	381	435
467	382	435
468	383	434
469	384	433
470	385	432
471	385	431
472	386	430
473	387	430
474	388	429
475	389	428
476	389	427
477	390	426
478	391	425
479	392	424
480	392	424
481	393	423
482	394	422
483	395	421
484	396	420
485	397	420
486	398	419
487	399	418
488	399	417
489	400	417
490	401	416
491	402	415
